"Make","Model","Price","Year","Kilometer","Engine","Max.Power","Max.Torque","Length","Width","Seating.Capacity","Fuel.Tank.Capacity"
"Volvo","V40 D3 Kinetic",1200000,2015,"50965",1984,150,350,"4370",1783,5,60
"Toyota","Fortuner 3.0 4x2 AT",1525000,2014,"72000",2982,169,360,"4705",1840,7,80
"Mercedes-Benz","C-Class C 200 Avantgarde",2675000,2016,"28000",1991,181,300,"4686",1810,5,66
"Honda","Jazz V AT Petrol",545000,2015,"42000",1199,89,110,"3955",1694,5,40
"Mercedes-Benz","S-Class S 350D [2018-2020]",7900000,2017,"11850",2925,282,600,"5246",1899,5,70
"Honda","Jazz S",195000,2010,"32000",1198,89,110,"3900",1695,5,42
"BMW","3-Series 320d Luxury Edition",4550000,2021,"24000",1995,188,400,"4709",1827,5,59
"Land Rover","Evoque HSE Dynamic",2499000,2015,"50623",2179,188,420,"4465",1900,5,57
"Hyundai","Venue SX 1.5 CRDi",1097000,2022,"1700",1493,99,240,"3995",1770,5,45
"Volkswagen","Polo GT TSI",1095000,2020,"43260",1197,103,175,"3971",1682,5,45
"Maruti Suzuki","Wagon R LXI CNG",325000,2015,"67738",998,58,77,"3599",1495,5,35
"Mahindra","Scorpio S11 4WD 7 STR",1375000,2019,"69000",2179,140,320,"4456",1820,7,60
"Maruti Suzuki","Swift VXi",745000,2021,"14722",1197,89,113,"3845",1735,5,37
"Toyota","Innova 2.4 VX 7 STR [2016-2020]",2175000,2017,"29000",2393,148,343,"4735",1830,7,55
"Jeep","Compass Limited (O) 1.4 Petrol AT [2017-2020]",1250000,2017,"60200",1368,160,250,"4395",1818,5,60
"Maruti Suzuki","Swift VDi",500000,2017,"140000",1248,74,190,"3850",1695,5,42
"Honda","WR-V S MT Petrol",625000,2017,"23798",1199,89,110,"3999",1734,5,40
"Volkswagen","Vento TSI",650000,2017,"51000",1197,103,175,"4384",1699,5,55
"Honda","Brio S MT",310000,2014,"49000",1198,87,109,"3610",1680,5,35
"Renault","Duster RXL Petrol",600000,2017,"48000",1498,105,142,"4315",1822,5,50
"Ford","Fiesta Style Diesel [2011-2014]",295000,2013,"74000",1498,89,204,"4291",1722,5,43
"Mahindra","XUV500 W8",484999,2012,"102000",2179,140,330,"4585",1890,7,70
"BMW","5-Series 530i Sport Line",4250000,2018,"32000",1998,248,350,"4936",1868,5,57
"Tata","Safari 2.2 EX 4x2",375000,2013,"97000",2179,138,320,"4655",1965,7,55
"Kia","Seltos GTX Plus AT 1.4 [2019-2020]",1625000,2021,"16000",1353,138,242,"4315",1800,5,50
"Porsche","Cayenne Platinum Edition Diesel",5350000,2016,"55700",2967,241,550,"4855",1939,5,85
"BMW","X5 xDrive30d xLine",4250000,2017,"80000",2993,262,620,"4922",2004,5,80
"Ford","Ecosport Trend 1.5 TDCi",480000,2014,"115000",1498,89,204,"3999",1765,5,52
"Hyundai","Grand i10 NIOS Magna 1.2 Kappa VTVT",590000,2020,"74000",1197,82,114,"3805",1680,5,37
"Hyundai","Elite i20 Sportz 1.4",561000,2015,"61000",1396,89,220,"3985",1734,5,45
"Toyota","Corolla Altis 1.8 G",725000,2014,"104814",1798,138,173,"4540",1760,5,55
"Hyundai","Elantra 1.8 SX MT",645000,2013,"17000",1797,147,177,"4530",1775,5,56
"Audi","Q3 35 TDI Premium + Sunroof",1695000,2015,"60000",1968,174,380,"4385",1831,5,64
"Maruti Suzuki","Swift Lxi (O) [2014-2017]",450000,2016,"45000",1197,83,115,"3850",1695,5,42
"Mahindra","XUV500 W10",1375000,2016,"75811",2179,138,330,"4585",1890,7,70
"Mahindra","Thar AX 4-STR Convertible Petrol MT",1700000,2021,"3813",1997,150,300,"3985",1820,4,57
"Maruti Suzuki","Swift VXi [2014-2017]",525000,2016,"64928",1197,83,115,"3850",1695,5,42
"Maruti Suzuki","DZire VDi",590000,2018,"68500",1248,74,190,"3995",1735,5,37
"Toyota","Fortuner 3.0 4x2 AT",1495000,2014,"85000",2982,169,360,"4705",1840,7,80
"BMW","5-Series 520d M Sport",3300000,2017,"41296",1995,190,400,"4899",2094,5,65
"Honda","Amaze 1.5 SX i-DTEC",385000,2013,"72567",1498,99,200,"3990",1680,5,35
"Maruti Suzuki","Wagon R VXI+",535000,2020,"4295",998,67,90,"3636",1475,5,35
"Maruti Suzuki","Vitara Brezza ZDi Plus",875000,2018,"82000",1248,89,200,"3995",1790,5,48
"Hyundai","Creta SX 1.6 CRDi (O)",969999,2018,"68000",1582,126,260,"4270",1780,5,55
"Honda","City ZX CVT Petrol",1700000,2022,"8530",1498,119,145,"4549",1748,5,40
"Hyundai","Tucson GLS 2WD AT Petrol",1789999,2018,"46000",1999,153,192,"4475",1850,5,62
"Toyota","Innova 2.7 VX 7 STR [2016-2020]",1964999,2020,"26000",2694,164,245,"4735",1830,7,65
"Audi","TT 2.0 TFSI Quattro",4000000,2014,"39394",1984,208,350,"4198",1842,2,60
"Tata","Tiago Revotron XTA [2017-2019]",484999,2018,"35000",1199,84,114,"3746",1647,5,35
"Maruti Suzuki","Swift VXi [2014-2017]",580000,2019,"17881",1197,83,115,"3850",1695,5,42
"Honda","City E [2013-2016]",450000,2014,"48409",1497,117,145,"4440",1695,5,40
"Maruti Suzuki","Alto 800 Vxi (Airbag)",355000,2020,"40000",796,47,69,"3395",1490,5,35
"Audi","Q3 35 TDI Premium + Sunroof",2375000,2017,"61643",1968,174,380,"4385",1831,5,64
"Mercedes-Benz","C-Class Cabriolet C 300",6500000,2020,"21000",1991,241,370,"4686",1810,4,59
"Tata","Nexon XZ Plus Dark Edition",1050000,2022,"1500",1199,118,170,"3993",1811,5,44
"Ford","Ecosport Ambiente 1.5L TDCi",445000,2014,"38985",1498,99,205,"3998",1765,5,52
"Honda","Jazz SV Petrol",495000,2015,"52000",1199,89,110,"3955",1694,5,40
"Hyundai","i10 Sportz 1.2 Kappa2",275000,2011,"42000",1197,79,112,"3585",1595,5,35
"Honda","Amaze 1.2 VX AT i-VTEC",465000,2014,"29442",1198,87,109,"3990",1680,5,35
"Jeep","Compass Limited (O) 2.0 Diesel [2017-2020]",1050000,2017,"71800",1956,171,350,"4395",1818,5,60
"Mercedes-Benz","C-Class C 200 Progressive [2018-2020]",4900000,2022,"5000",1497,181,280,"4686",1810,5,66
"Hyundai","Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG",695000,2020,"18000",1197,68,95,"3805",1680,5,60
"Toyota","Fortuner 2.8 4x2 AT [2016-2020]",3210000,2018,"37000",2755,174,450,"4795",1855,7,80
"Hyundai","Xcent E Plus CRDi",445000,2018,"65555",1186,74,190,"3995",1660,5,43
"Land Rover","Evoque SE R-Dynamic",5950000,2021,"35000",1999,177,430,"4371",1996,5,66.5
"BMW","X3 xDrive 20d Luxury Line [2018-2020]",3800000,2018,"87000",1995,190,400,"4657",1881,5,67
"Hyundai","Creta 1.6 SX Plus AT Petrol",1000000,2018,"42000",1591,122,154,"4270",1780,5,60
"Mahindra","Scorpio S11 4WD 7 STR",1490000,2018,"68000",2179,140,320,"4456",1820,7,60
"MG","Astor Sharp EX 1.5 MT",1550000,2022,"600",1498,108,144,"4323",1809,5,48
"Toyota","Etios Liva VD Dual Tone",484999,2017,"86006",1364,67,170,"3884",1695,5,45
"Honda","City SV Diesel",425000,2014,"75000",1498,99,200,"4440",1695,5,40
"Mahindra","Scorpio S10",1150000,2014,"99000",2179,120,280,"4456",1820,8,60
"Skoda","Superb L&K TSI AT",3195000,2021,"21651",1798,177,250,"4861",1864,5,66
"Hyundai","i20 Active 1.4 SX",725000,2016,"84000",1396,89,220,"3995",1760,5,45
"Mercedes-Benz","M-Class ML 350 CDI",2450000,2014,"65000",2997,254,619,"4804",2141,5,70
"Maruti Suzuki","Ciaz Zeta 1.4 AT",741000,2017,"31000",1373,91,130,"4490",1730,5,43
"Mercedes-Benz","E-Class E 220d Exclusive [2019-2019]",7350000,2022,"17000",1950,192,400,"5063",1860,5,80
"Mahindra","Thar AX 6-STR Soft Top Diesel MT",1550000,2020,"28000",2184,130,300,"3985",1820,6,57
"Honda","City S Diesel",645000,2015,"64000",1498,99,200,"4440",1695,5,40
"Honda","City SV Diesel",550000,2014,"85000",1498,99,200,"4440",1695,5,40
"Maruti Suzuki","Baleno Alpha 1.2 AT",595000,2017,"35000",1197,83,115,"3995",1745,5,37
"Volvo","V40 Cross Country D3",1595000,2015,"44000",1984,150,350,"4370",1783,5,60
"Maruti Suzuki","Celerio X Zxi AMT [2017-2019]",500000,2017,"32000",998,67,90,"3715",1635,5,35
"Maruti Suzuki","Wagon R LXI ABS",345000,2016,"49857",998,67,90,"3599",1495,5,35
"Maruti Suzuki","Wagon R VXI+",299000,2013,"46000",998,67,90,"3636",1475,5,35
"Maruti Suzuki","Baleno Delta 1.2 AT",570000,2017,"36000",1197,83,115,"3995",1745,5,37
"Renault","Kiger RXT Turbo CVT",800000,2021,"13000",999,99,152,"3991",1750,5,40
"Hyundai","Eon 1.0 Kappa Magna + [2014-2016]",315000,2013,"45000",998,68,94,"3515",1500,5,32
"Mercedes-Benz","S-Class 350 L",1850000,2011,"26000",3498,272,345,"5226",2120,5,90
"Maruti Suzuki","S-Presso VXi CNG",610000,2022,"3800",998,58,78,"3565",1520,4,55
"Toyota","Innova 2.4 VX 8 STR [2016-2020]",1995000,2018,"35123",2393,148,343,"4735",1830,8,55
"Kia","Seltos GTX Plus AT 1.5 Diesel [2019-2020]",1875000,2021,"21000",1493,114,250,"4315",1800,5,50
"Hyundai","Creta SX (O) 1.5 Petrol CVT [2020-2022]",1748999,2022,"2670",1497,113,144,"4300",1790,5,50
"Skoda","Rapid Ambition 1.6 TDI CR MT",640000,2016,"124000",1598,105,250,"4386",1699,5,55
"Hyundai","Elite i20 Asta 1.2 (O) [2016]",779000,2016,"9889",1197,82,115,"3985",1734,5,45
"Honda","City ZX CVT Petrol",1450000,2021,"13000",1497,118,145,"4440",1695,5,40
"Tata","Nexon XZA Plus Petrol",890000,2018,"35000",1198,108,170,"3994",1811,5,44
"Maruti Suzuki","Baleno Zeta 1.2",625000,2017,"51145",1197,83,115,"3995",1745,5,37
"Mercedes-Benz","GLS 350 d",8500000,2019,"13000",2987,255,620,"5130",1934,7,100
"Audi","RS5 4.2 Coupe",2900000,2011,"56000",4163,444,430,"4649",1860,5,64
"Mercedes-Benz","GLC 220 d Progressive",4550000,2018,"45000",2143,168,400,"4656",1890,5,66
"Skoda","Superb L&K TDI AT",2500000,2017,"82900",1968,174,350,"4861",1864,5,66
"Maruti Suzuki","Alto 800 Lxi CNG",249000,2014,"56843",796,47,69,"3395",1490,5,35
"Ford","Figo Duratec Petrol Titanium 1.2",270000,2015,"64000",1196,70,102,"3795",1680,5,45
"Maruti Suzuki","DZire VXi AMT",825000,2019,"9644",1197,82,113,"3995",1735,5,37
"Maruti Suzuki","Celerio ZXi (O) AMT [2019-2020]",425000,2017,"41624",998,67,90,"3695",1600,5,35
"Hyundai","Grand i10 Sportz U2 1.2 CRDi",459999,2016,"82844",1186,74,190,"3765",1660,5,43
"Renault","Duster RXL Petrol",789000,2017,"60444",1498,105,142,"4315",1822,5,50
"BMW","3-Series 330i M Sport Edition",5100000,2022,"6000",1998,248,350,"4633",1811,5,57
"Mahindra","Scorpio S10",775000,2014,"125000",2179,120,280,"4456",1820,8,60
"Hyundai","Creta 1.6 SX Plus AT Petrol",1400000,2019,"13000",1591,122,154,"4270",1780,5,60
"Maruti Suzuki","Ertiga VDi",770000,2015,"112000",1248,89,200,"4265",1695,7,45
"Hyundai","Grand i10 Magna 1.2 Kappa VTVT [2017-2020]",450000,2016,"53300",1197,81,114,"3765",1660,5,43
"Honda","City SV",840000,2019,"34000",1497,117,145,"4440",1695,5,40
"Mercedes-Benz","S-Class Maybach S 560",18500000,2021,"21000",3982,463,700,"5462",1899,4,70
"Land Rover","Evoque HSE Dynamic",4000000,2017,"25500",1999,177,430,"4360",2120,5,57
"Mahindra","XUV500 W8 1.99 [2016-2017]",690000,2015,"157662",1997,138,320,"4585",1890,7,70
"Mercedes-Benz","CLA 200 D Urban Sport",2800000,2018,"20000",2143,136,300,"4630",1777,5,56
"Hyundai","Xcent SX 1.1 CRDi",525000,2018,"78900",1120,71,160,"3995",1660,5,43
"Mercedes-Benz","E-Class E 220d Exclusive [2019-2019]",7780000,2022,"11000",1950,192,400,"5063",1860,5,80
"Tata","Hexa XTA 4x2 7 STR",1200000,2017,"95785",2179,154,400,"4788",1903,7,60
"Ford","Ecosport Titanium 1.5L TDCi",620000,2017,"92000",1498,99,205,"3998",1765,5,52
"Jaguar","F-Pace Prestige",5200000,2019,"43000",1999,177,430,"4731",2071,5,82
"Mercedes-Benz","CLA 200 CDI Sport",1998999,2017,"39328",2143,134,300,"4630",1777,5,56
"Toyota","Innova 2.4 ZX AT 7 STR",2725000,2020,"18625",2393,148,360,"4735",1830,7,55
"Maruti Suzuki","Swift VXi [2014-2017]",590000,2019,"26000",1197,83,115,"3850",1695,5,42
"MINI","Countryman Cooper D",1489000,2014,"81000",1995,112,270,"4097",1789,5,47
"Maruti Suzuki","DZire ZDi Plus AMT",685000,2018,"92000",1248,74,190,"3995",1735,5,37
"Mahindra","Scorpio S3 2WD 7 STR",1121000,2019,"38000",2523,75,200,"4456",1820,7,60
"Maruti Suzuki","Wagon R VXI",545000,2019,"10340",998,67,90,"3599",1495,5,35
"Audi","Q3 2.0 TDI quattro Premium",1350000,2015,"47706",1968,174,380,"4385",1831,5,64
"Maruti Suzuki","XL6 Alpha MT Petrol",1299000,2021,"13400",1462,103,138,"4445",1775,6,45
"Ford","Aspire Titanium1.5 TDCi",450000,2016,"44613",1498,99,215,"3995",1695,5,40
"Porsche","718 Cayman [2017-2020]",9000000,2017,"7000",1988,295,380,"4379",1801,2,54
"Maruti Suzuki","Swift VXi [2014-2017]",550000,2019,"29000",1197,83,115,"3850",1695,5,42
"BMW","3-Series 320d Luxury Line",4390000,2020,"23000",1995,188,400,"4633",1811,5,57
"Maruti Suzuki","Wagon R LXI CNG (O)",445000,2015,"67580",998,58,77,"3599",1495,5,35
"Hyundai","Verna 1.6 VTVT S",495000,2015,"42000",1591,121,155,"4375",1700,5,43
"Hyundai","Eon 1.0 Kappa Magna AirBag",360000,2015,"16205",998,68,94,"3515",1550,5,32
"Hyundai","Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016]",565000,2016,"29000",1197,79,112,"3765",1660,5,43
"Mercedes-Benz","GLE 300d 4MATIC LWB",9390000,2022,"14000",1950,241,500,"4924",2157,5,93
"Mahindra","TUV300 T8 AMT mHAWK100",615000,2017,"69000",1493,100,240,"3995",1835,7,60
"Honda","City V Diesel",525000,2015,"114635",1498,99,200,"4440",1695,5,40
"BMW","X1 sDrive20d xLine",2650000,2018,"50000",1995,184,350,"4454",2044,5,63
"BMW","X1 sDrive20d xLine",3785000,2019,"29221",1995,184,350,"4454",2044,5,63
"Audi","A6 2.0 TDI Premium",1175000,2012,"77000",1968,177,380,"4915",1874,5,65
"Mercedes-Benz","GLC 220d 4MATIC Progressive",6400000,2022,"5500",1950,192,400,"4658",1890,5,66
"BMW","3-Series 320d Sport Line",1450000,2013,"70000",1995,184,380,"4624",2031,5,60
"Honda","City VX CVT Petrol",1390000,2022,"32000",1498,119,145,"4549",1748,5,40
"Ferrari","488 GTB",35000000,2018,"9500",3902,660,760,"4568",1952,2,78
"Volkswagen","Tiguan Highline TDI",2990000,2020,"17904",1968,141,340,"4486",1839,5,71
"Land Rover","Evoque Pure SD4",2150000,2012,"95000",2179,190,420,"4355",2120,5,57
"Mercedes-Benz","GLE 43 4MATIC [2017-2019]",8500000,2018,"25275",2996,362,520,"4891",2003,5,93
"Maruti Suzuki","Wagon R LXI CNG",400000,2016,"67850",998,58,77,"3599",1495,5,35
"Maruti Suzuki","Swift VDi",610000,2017,"105000",1248,74,190,"3850",1695,5,42
"Hyundai","Creta SX 1.6 AT Petrol",1075000,2019,"45000",1591,122,151,"4270",1780,5,55
"Mercedes-Benz","E-Class E 220 d Avantgarde",7500000,2021,"8000",1950,192,400,"5063",1860,5,80
"Toyota","Corolla Altis G AT Petrol",1321000,2018,"38000",1798,138,173,"4620",1775,5,55
"Maruti Suzuki","S-Cross Zeta 1.3",950000,2020,"55055",1248,89,200,"4300",1785,5,48
"Maruti Suzuki","Baleno Zeta 1.2",825000,2021,"22000",1197,83,115,"3995",1745,5,37
"Mitsubishi","Pajero 2.5 MT",1300000,2013,"95000",2477,176,400,"4695",1815,7,70
"Maruti Suzuki","Swift ZXi",465000,2014,"25704",1197,85,114,"3850",1695,5,42
"Maruti Suzuki","Swift DZire VDI",475000,2016,"55353",1248,74,190,"3995",1695,5,42
"Audi","Q3 35 TDI Premium",1775000,2015,"80000",1968,174,380,"4385",1831,5,64
"Volkswagen","Vento Highline Plus 1.2 (P) AT 16 Alloy",825000,2018,"62000",1197,103,175,"4390",1699,5,55
"Ford","Endeavour Titanium 3.2 4x4 AT",3450000,2019,"41526",3198,197,470,"4892",1860,7,80
"Tata","Tiago Revotron XT [2016-2019]",379000,2018,"29434",1047,69,140,"3746",1647,5,35
"Datsun","Go D",240000,2017,"42000",1198,67,104,"3785",1635,5,35
"Kia","Seltos HTK Plus 1.5 [2019-2020]",1525000,2021,"14000",1497,114,144,"4315",1800,5,50
"BMW","3-Series 320d Sport Line",1400000,2014,"35000",1995,184,380,"4624",2031,5,60
"Mercedes-Benz","GLA 200 d Sport",2450000,2018,"61000",2143,134,300,"4424",1804,5,50
"Mercedes-Benz","GLA 200 CDI Sport",1789999,2015,"45000",2143,134,300,"4417",1804,5,50
"Mercedes-Benz","C-Class C 220d Progressive [2018-2019]",4275000,2019,"31000",1950,192,400,"4686",1810,5,66
"Hyundai","Elite i20 Sportz 1.2 MT",775000,2020,"39000",1197,82,115,"3995",1775,5,37
"Maruti Suzuki","Estilo VXi BS-IV",229999,2012,"52000",998,67,90,"3600",1495,5,35
"Hyundai","Eon Era +",300000,2018,"51000",814,55,75,"3495",1550,5,32
"Maruti Suzuki","Alto VXi (O) [2014-2019]",160000,2011,"72000",998,67,90,"3545",1490,5,35
"Mercedes-Benz","GLE 300d 4MATIC LWB",8300000,2020,"50000",1950,241,500,"4924",2157,5,93
"Audi","Q3 35 TDI Premium + Sunroof",1685000,2016,"80251",1968,174,380,"4385",1831,5,64
"Maruti Suzuki","Alto 800 Lxi",210000,2014,"42505",796,47,69,"3395",1490,5,35
"Hyundai","Elite i20 Asta 1.2",625000,2017,"42000",1197,82,115,"3985",1734,5,45
"BMW","7-Series 730Ld M Sport",6900000,2017,"42200",2993,262,620,"5219",1902,4,78
"Kia","Seltos GTX Plus AT 1.4 [2019-2020]",1490000,2019,"57600",1353,138,242,"4315",1800,5,50
"Mahindra","XUV500 W7 [2018-2020]",1095000,2018,"57000",2179,153,360,"4585",1890,7,70
"Ford","Endeavour 3.0L 4x4 AT",850000,2014,"85000",2953,154,380,"5060",1788,7,71
"Hyundai","Tucson 2WD AT GLS Diesel",1600000,2016,"128000",1995,182,400,"4475",1850,5,62
"Toyota","Etios V",265000,2011,"66000",1496,80,132,"4265",1695,5,45
"Volkswagen","Vento Comfortline Petrol",360000,2013,"58000",1598,103,153,"4384",1699,5,55
"Toyota","Fortuner 3.0 4x2 MT",1485000,2015,"64120",2982,169,343,"4705",1840,7,80
"Maruti Suzuki","Ciaz Alpha 1.4 MT",800000,2017,"82300",1373,91,130,"4490",1730,5,43
"Maruti Suzuki","Vitara Brezza VDi",710000,2017,"73000",1248,89,200,"3995",1790,5,48
"Maruti Suzuki","S-Cross Alpha 1.6",710000,2018,"72000",1598,118,320,"4300",1765,5,48
"Volkswagen","Polo Highline1.0L (P)",720000,2018,"50197",999,75,95,"3971",1682,5,45
"Honda","Amaze 1.2 S i-VTEC",395000,2014,"44527",1198,87,109,"3990",1680,5,35
"Audi","A4 35 TDI Technology",2799000,2017,"72400",1968,188,400,"4726",1842,5,54
"Ford","Ecosport Trend 1.5 Ti-VCT",455000,2014,"50000",1499,109,140,"3999",1765,5,52
"Honda","City VX (O) MT",690000,2014,"37000",1497,117,145,"4440",1695,5,40
"Mercedes-Benz","GLS 400d 4MATIC",13000000,2021,"20000",2925,326,700,"5207",2157,7,90
"Tata","Harrier XZA Plus Dark Edition",1995000,2020,"8000",1956,168,350,"4598",1894,5,50
"BMW","5-Series 520d Luxury Line",1750000,2014,"69000",1995,190,400,"4899",2094,5,65
"BMW","X1 sDrive20d xLine",2900000,2019,"25000",1995,184,350,"4454",2044,5,63
"BMW","X1 sDrive20d xLine",4500000,2022,"17000",1995,184,350,"4454",2044,5,63
"Honda","City 1.5 S MT",450000,2013,"61000",1497,116,146,"4440",1695,5,42
"BMW","5-Series 520d Luxury Line [2017-2019]",2149000,2015,"69000",1995,188,400,"4936",1868,5,65
"Mercedes-Benz","GL-Class 350 CDI",4200000,2015,"77000",2987,258,619,"5120",1934,7,100
"Tata","Nexon XT Diesel [2017-2019]",860000,2018,"82200",1497,108,260,"3994",1811,5,44
"Honda","City V",875000,2018,"28000",1497,117,145,"4440",1695,5,40
"MG","Gloster Savvy 6 STR 2.0 Twin Turbo 4WD",3500000,2021,"7900",1996,215,480,"4985",1926,6,75
"Audi","Q3 2.0 TDI quattro Premium Plus",1513000,2015,"79000",1968,174,380,"4385",1831,5,64
"Maruti Suzuki","Alto VXi",234000,2013,"72600",998,67,90,"3620",1475,5,35
"Datsun","Redigo S 1.0 AMT [2018-2019]",320000,2018,"42313",999,67,91,"3429",1560,5,28
"BMW","X3 xDrive 20d Luxury Line [2018-2020]",5975000,2021,"18000",1995,190,400,"4657",1881,5,67
"Maruti Suzuki","Vitara Brezza ZDi Plus",1025000,2019,"90000",1248,89,200,"3995",1790,5,48
"Maruti Suzuki","DZire VDi",630000,2017,"36000",1248,74,190,"3995",1735,5,37
"Hyundai","Venue SX Plus 1.0 Turbo DCT",1090000,2020,"26200",998,118,172,"3995",1770,5,45
"Maruti Suzuki","Swift LXi Special Edition",700000,2019,"11000",1197,82,113,"3840",1735,5,37
"Maruti Suzuki","Swift VXi",661000,2021,"14366",1197,89,113,"3845",1735,5,37
"Mahindra","TUV300 T8",565000,2017,"65000",1493,84,230,"3995",1835,7,60
"Toyota","Innova 2.5 G 7 STR BS-IV",750000,2014,"126000",2494,100,200,"4585",1760,7,55
"Audi","Q3 35 TDI Premium + Sunroof",1850000,2015,"71700",1968,174,380,"4385",1831,5,64
"Mahindra","XUV500 W6",850000,2016,"114000",2179,138,330,"4585",1890,7,70
"Hyundai","Elite i20 Asta 1.4 CRDI [2016-2017]",535000,2016,"58339",1396,89,220,"3985",1734,5,45
"Maruti Suzuki","DZire VDi AMT",770000,2019,"72040",1248,74,190,"3995",1735,5,37
"BMW","3-Series 330i M Sport Edition",3650000,2019,"6000",1998,248,350,"4633",1811,5,57
"Kia","Sonet GTX Plus 1.0 iMT [2020-2021]",1195000,2022,"6200",998,118,172,"3995",1790,5,45
"Mercedes-Benz","S-Class 500L",1650000,2012,"44000",5461,368,505,"5226",2120,5,90
"Skoda","Superb L&K TSI AT",3199000,2021,"6900",1798,177,250,"4861",1864,5,66
"Mercedes-Benz","E-Class E 200 Exclusive [2019-2019]",7100000,2022,"2500",1991,194,300,"5063",1860,5,80
"Volkswagen","Polo GT TSI",625000,2016,"68000",1197,103,175,"3971",1682,5,45
"Maruti Suzuki","Vitara Brezza VDi",745000,2018,"36000",1248,89,200,"3995",1790,5,48
"Hyundai","Santro Sportz",551000,2021,"19000",1086,68,99,"3610",1645,5,35
"Mercedes-Benz","E-Class E 220 d Avantgarde",5950000,2019,"10000",1950,192,400,"5063",1860,5,80
"Land Rover","Range Rover 3.0 V6 Diesel Vogue",22000000,2019,"35000",2993,244,600,"4999",2220,5,105
"MINI","Cooper D 3 Door",3300000,2019,"6400",1496,114,270,"3821",1727,5,44
"Ford","Endeavour Titanium Plus 3.2 4x4 AT",3250000,2019,"34000",3198,197,470,"4903",1869,7,80
"Renault","Duster 110 PS RXZ 4X2 AMT Diesel",690000,2016,"35000",1461,108,248,"4315",1822,5,50
"Maruti Suzuki","Vitara Brezza VDi AGS",894999,2019,"46000",1248,89,200,"3995",1790,5,48
"Skoda","Rapid Ambition 1.6 TDI CR MT",550000,2016,"83000",1598,105,250,"4386",1699,5,55
"Ford","Ecosport Trend 1.5 TDCi",399000,2013,"54000",1498,89,204,"3999",1765,5,52
"Kia","Seltos HTX 1.5 [2020-2021]",1275000,2020,"42000",1497,113,144,"4315",1800,5,50
"Maruti Suzuki","Eeco 5 STR WITH A/C+HTR [2019-2020]",535000,2020,"41441",1196,73,101,"3675",1475,5,40
"Maruti Suzuki","Vitara Brezza VDi",825000,2018,"48174",1248,89,200,"3995",1790,5,48
"Ford","Ecosport Ambiente 1.5L TDCi",585000,2016,"62591",1498,99,205,"3998",1765,5,52
"Honda","Jazz V AT Petrol",675000,2017,"48650",1199,89,110,"3955",1694,5,40
"Maruti Suzuki","S-Cross Alpha 1.3",795000,2017,"52245",1248,89,200,"4300",1785,5,48
"Mercedes-Benz","E-Class E 200 Exclusive [2019-2019]",6500000,2021,"7500",1991,194,300,"5063",1860,5,80
"Hyundai","Elite i20 Sportz 1.4 CRDI",611000,2017,"65000",1396,89,220,"3985",1734,5,45
"Maruti Suzuki","Wagon R VXI",390000,2015,"43297",998,67,90,"3599",1495,5,35
"Maruti Suzuki","Swift VXi [2014-2017]",650000,2019,"44710",1197,83,115,"3850",1695,5,42
"Renault","Fluence 1.5 E4",390000,2013,"62000",1461,108,240,"4618",1813,5,67
"Audi","A4 35 TDI Technology",2400000,2017,"59267",1968,188,400,"4726",1842,5,54
"Maruti Suzuki","Swift VXi",385000,2011,"69000",1197,85,114,"3850",1695,5,42
"Maruti Suzuki","Swift DZire VXI",450000,2017,"75000",1197,83,115,"3995",1695,5,42
"Hyundai","Grand i10 Sports Edition 1.2L Kappa VTVT",649000,2020,"52236",1197,81,114,"3765",1660,5,43
"Audi","A3 35 TDI Premium + Sunroof",2900000,2019,"15530",1968,141,320,"4456",1796,5,50
"Maruti Suzuki","Swift DZire VDI",400000,2014,"64000",1248,74,190,"3995",1695,5,42
"Hyundai","Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT",599000,2020,"35000",1197,82,114,"3805",1680,5,37
"Toyota","Fortuner 2.8 4x2 MT [2016-2020]",2980000,2019,"92000",2755,174,420,"4795",1855,7,80
"Audi","A4 30 TFSI Technology Pack",3500000,2018,"18000",1395,148,250,"4726",1842,5,54
"Honda","Jazz V Petrol",400000,2016,"50000",1199,89,110,"3955",1694,5,40
"Mercedes-Benz","GLC 200 Progressive",6975000,2022,"2000",1991,194,320,"4658",1890,5,66
"Mercedes-Benz","GLE 250 d",5400000,2016,"16000",2143,201,500,"4819",2141,5,93
"Mercedes-Benz","GL-Class 350 CDI",3700000,2015,"103890",2987,258,619,"5120",1934,7,100
"Maruti Suzuki","Celerio ZXi [2017-2019]",445000,2018,"71000",998,67,90,"3600",1600,5,35
"Mahindra","Thar LX 4-STR Hard Top Diesel MT",1475000,2021,"12000",2184,130,300,"3985",1820,4,57
"Toyota","Fortuner 2.8 4x2 AT [2016-2020]",2800000,2016,"93000",2755,174,450,"4795",1855,7,80
"Maruti Suzuki","Swift VXi [2014-2017]",600000,2020,"10000",1197,83,115,"3850",1695,5,42
"Kia","Seltos GTX Plus AT 1.5 Diesel [2019-2020]",1835000,2020,"33828",1493,114,250,"4315",1800,5,50
"Maruti Suzuki","Wagon R LXi 1.0 CNG [2019-2020]",550000,2019,"48000",998,58,78,"3655",1620,5,60
"Maruti Suzuki","Vitara Brezza ZDi+ Dual Tone [2017-2018]",715000,2017,"71000",1248,89,200,"3995",1790,5,48
